10;Язык программирования Go;Эта книга призвана помочь вам начать работать с Go, причем с самого начала эффективно использовать все его особенности и богатые стандартные библиотеки для написания понятных, идиоматичных и эффективных программ.;Алан А. А. Донован, Брайан У. Керниган;/image/;jazyk_programmirovanija_go_2016.webp;https://disk.yandex.uz/i/P_cbAt8Pk22iEw
15;Чистый код: создание, анализ и рефакторинг;Книга посвящена хорошему программированию. Она полна реальных примеров кода. Код рассматривается с различных направлений: сверху вниз, снизу вверх и даже изнутри. Прочитав книгу, вы узнаете много нового о коде и научитесь отличать хороший код от плохого;Роберт Мартин;/image/;chisti_kod.webp;https://disk.yandex.uz/i/bSUICsph4NDpCg
20;Head First. Паттерны проектирования. Обновленное юбилейное издание;Особенностью данного издания является уникальный способ подачи материала, выделяющий серию "Head First" издательства O'Reilly в ряду множества скучных книг, посвященных программированию. Книга будет интересна широкому кругу веб-разработчиков, от начинающих до профессионалов, желающих освоить работу с паттернами проектирования.;Бейтс Берт, Фримен Эрик, Робсон Элизабет, Сьерра Кэти;/image/;head_first.webp;https://disk.yandex.uz/i/tohW0sxyyuc9PA
